representative,date,total_sales,total_quantity,transaction_count,average_price,median_price,distinct_customers,distinct_products,distinct_cities,distributor_count,active_reps,latitude_dispersion,longitude_dispersion
Alan Ray,2017-02-01,22630217.0,50039.0,344,412.9796511627907,424.0,257,181,257,12,1,1.612547929833768,2.0830861775317726
Alan Ray,2017-03-01,16146873.0,38271.0,377,410.55702917771885,409.0,274,203,274,12,1,1.594821039119823,2.0474108613879745
Alan Ray,2017-04-01,13287526.0,30824.0,339,404.1386430678466,421.0,252,181,251,13,1,1.6525464870145874,2.1022346973549153
Alan Ray,2017-05-01,14497870.0,35175.0,404,413.08415841584156,451.0,292,205,292,13,1,1.5604922650382542,2.0492766936351328
Alan Ray,2017-06-01,20836775.0,44186.0,377,428.6976127320955,453.0,274,192,273,13,1,1.5864240430294432,2.0838233873771985
Alan Ray,2017-07-01,15222947.0,34797.0,404,419.0222772277228,446.5,287,198,287,13,1,1.6784466358140988,1.9515260830979368
Alan Ray,2017-08-01,21462039.0,51021.0,445,400.0494382022472,416.0,308,206,308,12,1,1.5374726465499693,2.064768047891697
Alan Ray,2017-09-01,21919261.0,49702.0,368,400.8967391304348,418.5,252,188,252,13,1,1.6490874330230199,2.0412570743141796
Alan Ray,2017-10-01,14121163.0,38931.0,374,426.60695187165777,453.0,277,192,277,12,1,1.5538520630989725,2.0903604348132196
Alan Ray,2017-11-01,17703993.0,45382.0,393,417.15521628498726,424.0,288,197,288,13,1,1.6745209778844399,2.0001318230286085
Alan Ray,2017-12-01,22123416.0,50311.0,277,430.1696750902527,458.0,207,174,207,12,1,1.6021769863680675,2.0119703885596065
Alan Ray,2018-01-01,11543496.0,36775.0,566,417.02826855123675,435.0,378,221,378,17,1,1.6162511455077597,5.332946975059055
Alan Ray,2018-02-01,19591964.2,43436.6,604,417.88079470198676,438.0,408,214,408,16,1,1.6582782267657548,5.1648926989264385
Alan Ray,2018-03-01,19372632.0,46417.0,647,392.34621329211745,408.0,421,223,420,19,1,1.6035972578349276,5.240045406526337
Alan Ray,2018-04-01,13629342.0,41225.0,506,395.0612648221344,415.0,372,209,372,16,1,1.6361152019041252,5.336983028235241
Alan Ray,2018-05-01,14298435.0,37635.0,571,404.6935201401051,430.0,393,218,393,17,1,1.6511174211812512,5.115047327300872
Alan Ray,2018-06-01,29378437.0,68508.0,557,400.3572710951526,414.0,379,217,378,19,1,1.6236664980779412,5.039650901652355
Alan Ray,2018-07-01,23703035.0,62403.0,654,413.67584097859327,427.0,420,225,418,16,1,1.5856039292278032,5.346680458269222
Alan Ray,2018-08-01,11615409.0,34190.0,575,412.54782608695655,438.0,386,220,386,16,1,1.6191502107690896,5.564828864846064
Alan Ray,2018-09-01,21867650.0,47930.0,573,420.55846422338567,452.0,372,222,371,20,1,1.5602478889959446,5.326209663934003
Alan Ray,2018-10-01,30088268.0,73086.0,765,407.8705882352941,424.0,466,230,465,15,1,1.6467015101331617,5.265462291163179
Alan Ray,2018-11-01,30141968.0,72680.0,683,421.8799414348463,448.0,432,226,431,16,1,1.6138039711420389,5.3942983431908225
Alan Ray,2018-12-01,15142248.0,34585.0,507,419.4082840236686,438.0,348,213,348,16,1,1.636246420522815,5.299573064108822
Alan Ray,2019-01-01,6970687.0,19889.0,289,415.878892733564,445.0,226,165,226,4,1,1.5485371780109263,2.03717351179343
Alan Ray,2019-02-01,17539307.0,65409.0,364,403.54395604395603,408.0,269,181,267,8,1,1.5740205188623697,2.008996792094055
Alan Ray,2019-03-01,22556248.0,52269.0,411,420.88321167883214,452.0,298,188,297,5,1,1.6028438666145652,1.9851137561679688
Alan Ray,2019-04-01,9895574.0,26512.0,274,413.7335766423358,452.5,216,161,216,4,1,1.4631038076937837,2.0911373736101964
Anne Wu,2017-01-01,14817341.0,36611.0,286,405.47202797202794,415.0,230,170,229,13,1,1.580997484981624,2.1706464810794484
Anne Wu,2017-02-01,13810023.0,31634.0,344,425.61046511627904,464.5,255,181,255,12,1,1.655208772298598,2.157361176480613
Anne Wu,2017-03-01,18057321.0,47154.0,353,393.1388101983003,402.0,265,190,265,11,1,1.6524914459388227,2.058874536270729
Anne Wu,2017-04-01,16028484.0,35341.0,297,435.72053872053874,453.0,228,169,228,13,1,1.5890136828013197,2.030903551546477
Anne Wu,2017-05-01,22748598.0,67737.0,391,399.86700767263426,409.0,285,189,284,13,1,1.5915192378422363,1.965133369406811
Anne Wu,2017-06-01,19357770.0,45508.0,414,418.45410628019323,445.0,294,194,293,12,1,1.633603334065785,2.0761742442877713
Anne Wu,2017-07-01,21421404.5089,48013.5512759,446,402.6502242152466,420.5,306,204,306,14,1,1.634514169001449,2.00672321472794
Anne Wu,2017-08-01,16337980.0,38997.0,423,431.1962174940898,458.0,291,193,291,10,1,1.6572063002979673,1.9885904679494213
Anne Wu,2017-09-01,29493623.0,66982.0,366,410.76229508196724,432.5,259,197,259,13,1,1.4727378206788273,2.040873804095858
Anne Wu,2017-10-01,20610668.0,47579.0,368,433.3396739130435,446.5,276,193,276,13,1,1.5694880280779806,1.9513757818462314
Anne Wu,2017-11-01,32984448.0,61239.0,398,428.9748743718593,452.5,280,199,280,13,1,1.608308369144933,2.1321105947049683
Anne Wu,2017-12-01,14500971.0,36266.0,305,398.2491803278688,404.0,228,176,227,13,1,1.550177215106427,2.0957604944832897
Anne Wu,2018-01-01,14587767.0,33353.0,598,427.09698996655516,452.5,372,223,372,16,1,1.5823754308275455,5.392662790287557
Anne Wu,2018-02-01,20065106.0,51254.0,606,413.1798679867987,421.0,405,224,404,17,1,1.6141443624856704,5.277942479075572
Anne Wu,2018-03-01,43370483.0,94964.0,714,416.47058823529414,448.0,442,229,441,21,1,1.5438761723393226,5.16207842653374
Anne Wu,2018-04-01,16143838.0,45372.0,524,424.0916030534351,450.0,367,220,366,17,1,1.5862959892422255,5.246235642316664
Anne Wu,2018-05-01,19384488.0,39734.0,558,413.5537634408602,445.0,382,218,382,16,1,1.6206272646610065,5.35917107721847
Anne Wu,2018-06-01,23270218.0,60816.0,588,400.94727891156464,408.0,403,223,403,20,1,1.5938475524284232,5.160319759456469
Anne Wu,2018-07-01,19795733.0,51358.0,634,411.0,406.0,420,223,420,17,1,1.5884643150802629,5.311028263150946
Anne Wu,2018-08-01,19028368.0,41617.0,614,395.27035830618894,404.0,391,212,391,16,1,1.6479230629954662,5.334103346783693
Anne Wu,2018-09-01,25392151.0,48097.0,520,418.86538461538464,448.0,357,217,357,18,1,1.6878017645116676,5.306819046889642
Anne Wu,2018-10-01,26324651.0,63870.0,736,428.9959239130435,445.0,461,232,461,16,1,1.56976232036423,5.286581893324382
Anne Wu,2018-11-01,22264385.0,59358.0,645,400.35503875968993,416.0,415,222,415,17,1,1.5877523358530585,5.506555771504309
Anne Wu,2018-12-01,9511704.0,22844.0,497,399.8732394366197,416.0,336,215,335,18,1,1.6243288421789932,5.35628137117235
Anne Wu,2019-01-01,6526321.0,20359.0,306,395.2875816993464,401.5,235,176,235,5,1,1.6015337872974298,2.1394121796906003
Anne Wu,2019-02-01,20325738.0,54410.0,338,412.15384615384613,421.0,239,177,239,9,1,1.6637377951087053,2.0243001552134685
Anne Wu,2019-03-01,15660989.0,39602.0,433,410.4157043879908,421.0,300,195,299,5,1,1.652514934064454,1.9200938452458907
Anne Wu,2019-04-01,11720220.0,32854.0,262,413.0,432.5,218,158,218,5,1,1.6222293301070745,2.1757467480940225
Daniel Gates,2017-01-01,14401576.0,32950.0,315,402.0888888888889,430.0,248,168,247,13,1,1.489729379041611,1.9372623274562626
Daniel Gates,2017-02-01,13500698.0,40182.0,317,421.0725552050473,445.0,240,184,240,13,1,1.625660376505083,2.0152405104693427
Daniel Gates,2017-03-01,20399409.0,51536.0,353,394.8753541076487,400.0,248,179,248,13,1,1.5986982888027226,2.029614074252384
Daniel Gates,2017-04-01,11096800.0,29867.0,294,437.27891156462584,452.0,222,165,222,11,1,1.669238062720272,2.0216310643173223
Daniel Gates,2017-05-01,11044943.0,30892.0,371,387.3126684636119,404.0,278,191,278,12,1,1.6661584114376746,2.0739730736620188
Daniel Gates,2017-06-01,17660842.0,46435.0,415,385.00240963855424,390.0,291,201,291,13,1,1.6190837867447914,2.1193482177722425
Daniel Gates,2017-07-01,19181384.0,53416.0,395,414.98227848101266,420.0,290,194,290,13,1,1.7247807406856712,1.968671083270287
Daniel Gates,2017-08-01,19154084.0,42137.0,393,425.3994910941476,424.0,275,197,274,13,1,1.5448900924163027,1.9719980867521656
Daniel Gates,2017-09-01,18924762.0,52049.0,382,429.78534031413614,459.5,274,186,273,13,1,1.6519625311729527,2.04161003712666
Daniel Gates,2017-10-01,11880066.0,28279.0,346,424.9913294797688,446.5,254,186,253,13,1,1.5726924995950098,2.126477070783127
Daniel Gates,2017-11-01,11526973.0,29995.0,386,401.020725388601,408.0,284,187,283,12,1,1.6491815646862908,1.9917168274766825
Daniel Gates,2017-12-01,14035386.0,38262.0,290,404.98275862068965,420.5,221,173,221,13,1,1.5736724103245956,2.201192550102533
Daniel Gates,2018-01-01,13770923.0,31770.0,563,416.82060390763763,438.0,378,221,377,17,1,1.6209727615171894,5.407484759071232
Daniel Gates,2018-02-01,29091586.0,66011.0,620,403.7064516129032,420.0,418,224,418,17,1,1.6196160653735847,5.315365230118018
Daniel Gates,2018-03-01,23645590.0,59230.0,689,410.6357039187228,435.0,418,229,418,19,1,1.5178265774612323,5.371625661230381
Daniel Gates,2018-04-01,27399814.0,82694.0,530,426.6301886792453,445.0,374,212,373,17,1,1.6612983253065254,5.179923954572264
Daniel Gates,2018-05-01,21806735.0,58033.0,577,418.7590987868284,453.0,386,215,386,15,1,1.599073387977496,5.143011035622202
Daniel Gates,2018-06-01,25588586.0,60691.0,577,418.8457538994801,450.0,393,212,393,20,1,1.565612809103179,5.105970196495862
Daniel Gates,2018-07-01,36291528.0,83162.0,617,400.1815235008104,420.0,416,217,415,16,1,1.636392954057404,5.252600935621902
Daniel Gates,2018-08-01,22274507.0,52698.0,622,416.0176848874598,438.0,408,220,408,15,1,1.647260657420681,5.3305356370090395
Daniel Gates,2018-09-01,14590219.0,35583.0,566,407.7985865724382,420.0,390,219,389,18,1,1.5693402663135039,5.294725724385549
Daniel Gates,2018-10-01,27881320.0,63551.0,774,431.66149870801036,458.0,456,228,454,16,1,1.648378496138994,5.1772256261620715
Daniel Gates,2018-11-01,25206359.0,55255.0,650,422.09384615384613,445.0,422,226,422,16,1,1.6256455833760897,5.424697465824137
Daniel Gates,2018-12-01,15461529.0,33919.0,503,418.5765407554672,452.0,342,209,342,15,1,1.551003346427134,5.409610101082302
Daniel Gates,2019-01-01,6138913.0,13393.0,265,407.1735849056604,438.0,213,159,212,4,1,1.6694298775676357,2.022073854326274
Daniel Gates,2019-02-01,27993912.0,83457.0,323,399.94736842105266,409.0,244,181,243,9,1,1.634114324032864,2.0077543046364235
Daniel Gates,2019-03-01,22983929.0,60469.0,420,410.93333333333334,430.0,307,195,305,4,1,1.6543025544398655,2.0003535925035125
Daniel Gates,2019-04-01,32989010.0,69257.0,282,416.81205673758865,430.0,215,167,215,4,1,1.6295487528468637,1.9476580358168543
Erica Jones,2017-01-01,10935589.0,24278.0,305,423.6,450.0,234,163,233,12,1,1.62724095748065,1.9646488426310673
Erica Jones,2017-02-01,16364825.0,38063.0,355,418.0225352112676,445.0,259,184,259,12,1,1.5820123636647407,2.2104686906903868
Erica Jones,2017-03-01,16560457.0,43563.0,378,404.73280423280426,432.5,275,193,275,13,1,1.6789473511236963,2.1284337516458574
Erica Jones,2017-04-01,14778098.0,33687.0,302,412.79801324503313,441.5,238,179,237,13,1,1.649335969047403,1.970679967272199
Erica Jones,2017-05-01,24034581.0,52671.0,412,419.5898058252427,448.0,299,192,299,13,1,1.5733344291644231,2.0979542722823585
Erica Jones,2017-06-01,13682886.0,37541.0,360,406.5111111111111,420.0,265,187,265,13,1,1.6361170017844837,1.9768740766240398
Erica Jones,2017-07-01,12775455.0,31439.0,403,435.7692307692308,458.0,272,196,272,13,1,1.5801496366245005,2.035809986374697
Erica Jones,2017-08-01,21209296.0,47952.0,405,411.94074074074075,430.0,301,198,301,13,1,1.595709181230655,2.001705881224984
Erica Jones,2017-09-01,17115076.0,36317.0,348,404.6867816091954,411.5,262,183,262,13,1,1.5680343393699714,2.0475156330463595
Erica Jones,2017-10-01,13352940.0,33704.0,394,414.0406091370558,445.0,269,195,269,12,1,1.5672742876172308,2.032645868083234
Erica Jones,2017-11-01,13437353.0,36512.0,370,421.772972972973,438.0,274,191,273,11,1,1.648740197981846,1.9664559152125611
Erica Jones,2017-12-01,29291544.0,74740.0,308,425.1915584415584,450.0,242,180,241,11,1,1.583606124889786,2.1319020144984284
Erica Jones,2018-01-01,22130141.0,52413.0,581,406.8898450946644,435.0,386,220,386,17,1,1.6335901614575825,5.377719953274076
Erica Jones,2018-02-01,22731712.0,56716.0,624,399.3541666666667,420.0,417,218,417,17,1,1.6071934410309279,5.332572062041898
Erica Jones,2018-03-01,36161887.0,82817.0,650,426.59846153846155,452.0,434,230,433,19,1,1.6330093583840952,5.218809463398164
Erica Jones,2018-04-01,15026990.0,49207.0,556,388.0791366906475,401.0,380,213,380,17,1,1.6398934936519824,5.1774922998292645
Erica Jones,2018-05-01,22218436.0,50105.0,591,410.35871404399325,435.0,389,222,389,17,1,1.5212481165140075,5.044629059273647
Erica Jones,2018-06-01,22075962.0,72568.0,608,405.57730263157896,424.0,416,210,416,19,1,1.5987867418986257,5.26885494601485
Erica Jones,2018-07-01,19155384.0,44316.0,598,404.39297658862876,420.0,402,224,401,16,1,1.5681062718718468,5.4473677375178875
Erica Jones,2018-08-01,19182130.0,55000.0,581,405.9724612736661,416.0,378,210,378,16,1,1.696097222927183,5.276237653889401
Erica Jones,2018-09-01,20825344.0,48549.0,547,411.6782449725777,424.0,388,213,386,16,1,1.5771402074018928,5.306696657976821
Erica Jones,2018-10-01,25989854.0,59307.0,746,415.1916890080429,420.0,470,229,470,15,1,1.6631973180967217,5.2200197786833815
Erica Jones,2018-11-01,24095218.0,74063.0,639,410.61189358372457,424.0,419,218,419,16,1,1.6397350543359868,5.251765706950106
Erica Jones,2018-12-01,18013990.0,43189.0,506,403.07509881422925,445.0,354,215,354,18,1,1.6403720332511489,5.312106920211099
Erica Jones,2019-01-01,4283482.0,11584.0,274,429.1094890510949,455.0,217,170,216,3,1,1.6085748368589439,2.070722395026232
Erica Jones,2019-02-01,26569377.0,53037.0,346,430.2543352601156,445.0,248,188,248,10,1,1.557808264657953,2.062197591509886
Erica Jones,2019-03-01,27677617.0,55441.0,394,409.505076142132,420.0,286,196,285,5,1,1.5701103089388007,2.0031958737405393
Erica Jones,2019-04-01,10331078.0,23069.0,277,439.9241877256318,470.0,210,166,210,4,1,1.6472622685081828,1.927113358378242
Jessica Smith,2017-01-01,12471231.0,29650.0,309,417.33656957928804,430.0,234,175,233,13,1,1.6848103564447268,2.097183478051994
Jessica Smith,2017-02-01,17554306.0,45200.0,321,408.10280373831773,420.0,247,181,247,11,1,1.6190318663144196,1.9939427089123327
Jessica Smith,2017-03-01,14161138.0,37580.0,393,407.9083969465649,438.0,287,196,287,12,1,1.6898027388723333,2.115065575677208
Jessica Smith,2017-04-01,13113348.0,33251.0,318,410.83962264150944,445.0,254,174,254,12,1,1.6927055974102807,2.038717731461733
Jessica Smith,2017-05-01,16075825.0,55018.0,368,417.61141304347825,445.0,276,191,276,12,1,1.636754831315582,1.9906798049191923
Jessica Smith,2017-06-01,14678856.0,33435.0,382,419.79842931937173,460.0,270,194,269,13,1,1.5916352451082578,2.1090453560024516
Jessica Smith,2017-07-01,18182284.0,40132.0,382,407.3089005235602,446.5,270,194,268,13,1,1.6103000098741596,2.1030186618721025
Jessica Smith,2017-08-01,21810012.0,45423.0,379,408.0448548812665,445.0,265,199,265,12,1,1.6597761419144161,2.0555703551689373
Jessica Smith,2017-09-01,20359718.0,56325.0,367,416.4277929155313,452.0,264,180,264,13,1,1.5835591702986722,1.8965968125146635
Jessica Smith,2017-10-01,16640285.0,48503.0,373,402.06970509383376,416.0,274,191,273,12,1,1.5756087860114252,2.0676883559652843
Jessica Smith,2017-11-01,32338210.0,64602.0,410,407.06341463414634,427.0,284,195,282,11,1,1.7047661095272153,1.9810610366483796
Jessica Smith,2017-12-01,20146156.0,46657.0,288,417.9826388888889,445.0,231,162,230,13,1,1.5856337660212256,1.9638930750847556
Jessica Smith,2018-01-01,30751285.0,68715.0,531,412.1638418079096,424.0,360,216,359,16,1,1.6234786568649022,5.381660368764961
Jessica Smith,2018-02-01,18568696.0,47405.0,627,407.00637958532695,420.0,415,223,414,17,1,1.6480787673278163,5.4026501536573015
Jessica Smith,2018-03-01,21528855.0,47682.0,661,405.9909228441755,420.0,427,228,426,17,1,1.611705016638335,5.250152921634966
Jessica Smith,2018-04-01,20445372.0,47725.0,594,419.14983164983164,445.0,407,220,407,15,1,1.649215715677328,5.19764022106337
Jessica Smith,2018-05-01,15748304.0,45168.0,576,411.8107638888889,438.0,392,216,392,16,1,1.5859798215466416,5.214089046220532
Jessica Smith,2018-06-01,33576603.0,70705.0,607,411.03953871499175,438.0,404,216,404,20,1,1.6647492213216668,5.277553743277291
Jessica Smith,2018-07-01,31577589.0,66971.0,690,416.91014492753624,445.0,443,224,442,17,1,1.6605408886451927,5.2167188646103515
Jessica Smith,2018-08-01,28686960.0,55423.0,599,419.40734557595994,448.0,390,221,390,15,1,1.5697720384843645,5.290052864423013
Jessica Smith,2018-09-01,17659401.0,42262.0,568,409.47535211267603,424.0,380,217,380,19,1,1.6920279699233836,5.285381703948185
Jessica Smith,2018-10-01,23137707.0,54735.0,773,399.0569210866753,416.0,462,227,460,16,1,1.6018424501772424,5.403748517521646
Jessica Smith,2018-11-01,13870029.0,27691.0,656,411.282012195122,436.5,411,220,411,15,1,1.592041708025424,5.336311926018534
Jessica Smith,2018-12-01,25266417.0,71293.0,534,416.0861423220974,445.0,360,213,359,18,1,1.5979738652570707,5.329395639650555
Jessica Smith,2019-01-01,7080773.0,16218.0,304,424.14473684210526,452.0,235,177,235,4,1,1.6545878902871258,2.1878109535640227
Jessica Smith,2019-02-01,18209497.0,53306.0,331,432.03021148036254,453.0,251,170,251,8,1,1.606908150009077,2.1916262834816282
Jessica Smith,2019-03-01,27223007.0,53602.0,398,428.1356783919598,445.0,279,194,279,4,1,1.614418667830052,2.1130757536134754
Jessica Smith,2019-04-01,13538551.0,25090.0,245,439.67755102040815,458.0,189,153,188,4,1,1.5999577943297976,1.9939574042338428
Jimmy Grey,2017-01-01,14533724.0,31147.0,317,403.4384858044164,424.0,245,166,244,11,1,1.6171237957617204,2.193907843249112
Jimmy Grey,2017-02-01,18179778.0,49565.0,397,400.4256926952141,416.0,277,197,277,12,1,1.6379931248297153,2.003943895532539
Jimmy Grey,2017-03-01,11746657.0,29106.0,317,406.3186119873817,438.0,236,183,236,12,1,1.6875542042492961,2.029506023092132
Jimmy Grey,2017-04-01,13517532.0,29992.0,303,416.65676567656766,445.0,235,173,235,12,1,1.5758247242986532,1.9384725808944956
Jimmy Grey,2017-05-01,16551670.0,52180.0,387,408.9483204134367,421.0,287,187,287,13,1,1.6258369783443718,2.0085126061815988
Jimmy Grey,2017-06-01,23709021.0,56679.0,408,412.99754901960785,446.5,288,198,288,13,1,1.6513648757515753,2.1550490579953
Jimmy Grey,2017-07-01,15185835.0,37865.0,403,419.7047146401985,450.0,283,184,282,12,1,1.453585046980432,2.1074576317288076
Jimmy Grey,2017-08-01,13075110.0,34210.0,401,419.3715710723192,445.0,288,190,288,13,1,1.5800733464620402,1.952526153562836
Jimmy Grey,2017-09-01,15341882.0,42924.0,373,408.2573726541555,402.0,267,180,267,13,1,1.6385562715634756,2.149445870981797
Jimmy Grey,2017-10-01,12830018.0,34742.0,336,397.2083333333333,421.0,249,184,249,13,1,1.6473356599093665,2.0204531123583935
Jimmy Grey,2017-11-01,15368478.0,39722.0,415,409.06746987951806,445.0,301,197,300,12,1,1.731681486422514,2.115132794815791
Jimmy Grey,2017-12-01,19569397.0,40401.0,293,410.03754266211604,420.0,234,176,234,13,1,1.6791220937268632,1.9102574192232358
Jimmy Grey,2018-01-01,16709430.0,41674.0,583,412.2641509433962,438.0,386,219,386,17,1,1.6095875434277738,5.28169529747791
Jimmy Grey,2018-02-01,17801369.0,41203.0,595,420.036974789916,424.0,390,219,390,17,1,1.64338583271799,5.393685095200269
Jimmy Grey,2018-03-01,26699800.0,58725.0,679,414.37702503681885,430.0,435,227,434,20,1,1.600001229598733,5.179751092513191
Jimmy Grey,2018-04-01,29758198.0,63456.0,530,411.67735849056606,424.0,383,211,382,17,1,1.58098493670802,5.374302003154583
Jimmy Grey,2018-05-01,14828214.0,35131.0,531,419.6497175141243,430.0,384,218,383,16,1,1.651876136736813,5.227407081441702
Jimmy Grey,2018-06-01,49287965.0,105321.0,617,415.837925445705,435.0,410,226,410,21,1,1.682439151624173,5.160560482522641
Jimmy Grey,2018-07-01,22077747.0,50537.0,638,405.07993730407526,420.0,426,221,426,17,1,1.5772608390175435,5.24906071884788
Jimmy Grey,2018-08-01,17524863.0,38262.0,589,420.62308998302206,452.0,386,213,386,15,1,1.5973189019125233,5.4179632830609386
Jimmy Grey,2018-09-01,33065553.0,72068.0,539,411.9925788497217,421.0,370,213,369,19,1,1.6070754506182405,5.322148255201237
Jimmy Grey,2018-10-01,29530873.0,67197.0,775,421.1458064516129,458.0,475,229,474,16,1,1.5779801819307648,5.2254936434483295
Jimmy Grey,2018-11-01,16431727.0,43761.0,674,408.23887240356083,424.0,425,224,423,16,1,1.6037337940504244,5.352234450655615
Jimmy Grey,2018-12-01,15490491.0,45510.0,515,403.1650485436893,414.0,347,218,347,17,1,1.7133572452255572,5.294740469746572
Jimmy Grey,2019-01-01,4836314.0,13301.0,253,428.498023715415,452.0,208,163,208,4,1,1.6595217098521315,2.075748854164737
Jimmy Grey,2019-02-01,40163923.0,76022.0,328,418.1707317073171,425.5,244,172,244,7,1,1.5333624871693736,2.017980908666808
Jimmy Grey,2019-03-01,31459877.0,61949.0,391,422.5549872122762,430.0,276,198,276,5,1,1.5835488038175132,2.038013225159874
Jimmy Grey,2019-04-01,14190198.0,31734.0,266,443.1616541353383,465.0,214,159,214,4,1,1.6035934328460364,2.179066409984756
Mary Gerrard,2017-01-01,11075369.0,25413.0,327,416.49235474006116,420.0,249,178,249,11,1,1.6104891616226842,2.072414801961945
Mary Gerrard,2017-02-01,21357956.0,49185.0,347,405.4351585014409,435.0,247,185,246,13,1,1.6010491798168782,2.064932640269353
Mary Gerrard,2017-03-01,19694184.0,42820.0,405,410.2543209876543,435.0,283,192,283,13,1,1.6516898175883001,2.1200491453834203
Mary Gerrard,2017-04-01,14347599.0,32314.0,311,414.90353697749197,445.0,240,173,240,12,1,1.5824648659963514,2.023126756472697
Mary Gerrard,2017-05-01,11241825.0,27005.0,395,413.0936708860759,420.0,295,194,294,13,1,1.5783062536605568,1.944873374454348
Mary Gerrard,2017-06-01,19870570.0,61897.0,377,420.46153846153845,445.0,273,187,273,13,1,1.5341083107826599,2.0827984119458187
Mary Gerrard,2017-07-01,27581872.0,54584.0,404,418.98762376237624,445.0,283,193,283,14,1,1.6995807924638262,2.1281216423434675
Mary Gerrard,2017-08-01,22404909.0,47299.0,379,428.14775725593665,450.0,279,193,279,13,1,1.6479102200402451,2.0689214005119374
Mary Gerrard,2017-09-01,27585928.0,63379.0,374,414.9652406417112,449.0,269,185,269,12,1,1.6512487776781022,1.9789079028657557
Mary Gerrard,2017-10-01,20029465.0,41888.0,353,434.6883852691218,470.0,266,185,264,12,1,1.6353822559633722,2.1086274949255377
