representative,team,country,product_class,date,workload,allocated_fte
Steve Pepple,Bravo,Germany,Antimalarial,2019-04-01,0.8319507496485185,0.16240233656375022
Steve Pepple,Bravo,Germany,Antipiretics,2019-04-01,0.7125269648089121,0.13909001704551852
Steve Pepple,Bravo,Germany,Antiseptics,2019-04-01,0.9362203118795412,0.1827564507297048
Steve Pepple,Bravo,Germany,Mood Stabilizers,2019-04-01,1.0313572555458965,0.20132781682496642
Thompson Crawford,Alfa,Germany,Analgesics,2019-04-01,0.9239522628974962,0.18359104311498134
Thompson Crawford,Alfa,Germany,Antibiotics,2019-04-01,0.7005612973158613,0.13920284034682034
Thompson Crawford,Alfa,Germany,Antimalarial,2019-04-01,0.7987601554031574,0.15871513715359467
Thompson Crawford,Alfa,Germany,Antipiretics,2019-04-01,0.7799510608841238,0.15497773488568037
Thompson Crawford,Alfa,Germany,Antiseptics,2019-04-01,0.9435563497429624,0.18748641184538417
Thompson Crawford,Alfa,Germany,Mood Stabilizers,2019-04-01,0.8858841237644484,0.17602683265353908
