observation_id,representative,manager,team,country,product_class,month,source_partition,sales,quantity,transaction_count,transaction_value,unique_customers,new_customers,product_breadth,city_coverage,geographic_spread,distributor_count,distributor_concentration,distributor_mix_change,channel_mix,subchannel_mix,simulated_target,simulated_expected_incentive,simulated_actual_payout,simulated_adjustment,simulated_payout_delta,simulated_attainment,repeat_customers,lost_customers,distributor_mix_summary,channel_summary,pca_raw_score,pca_score_percentile,pca_review_flag,pca_threshold_exceedance,pca_raw_threshold,ewma_score,robust_peer_percentile,kmeans_percentile,autoencoder_percentile,isolation_forest_percentile,temporal_review_flag,robust_peer_flag,peer_flag,kmeans_distance,kmeans_cluster,dbscan_cluster,dbscan_noise,top_driver_1_feature,top_driver_1,top_driver_1_contribution,top_driver_2_feature,top_driver_2,top_driver_2_contribution,top_driver_3_feature,top_driver_3,top_driver_3_contribution,strongest_peer_deviation_metric,strongest_peer_deviation_value,peer_comparison_cohort,strongest_history_deviation_metric,strongest_history_deviation_value,temporal_metric_feature,temporal_observed,temporal_expected,temporal_direction,temporal_history_length,temporal_available,temporal_metric,ewma_sales_observed,ewma_sales_expected,ewma_sales_raw_score,ewma_sales_history_length,ewma_sales_available,business_rule_flag,business_rule_summary,number_of_supporting_signals,review_priority,model_agreement_summary,pca_rank,review_rank
obs_ea6b56f3e9c18bb2,Mary Gerrard,Britanny Bold,Delta,Germany,Mood Stabilizers,2019-02-01,test,2116151.0,4673.0,62,34131.467741935485,57,0,33,57,2.520386460437704,5,0.458888208162384,0.6925167851413832,0.4990376437506011,0.6668315170205832,2409234.89,908.7623550479132,908.7623550479132,0.0,0.0,87.83498067305509,57,40,5 distributors; concentration index 0.459; mix change 0.693,Channel diversity index 0.499; subchannel diversity index 0.667,0.3103405475593579,0.9977022708752542,True,True,0.0837369402687258,0.2982367204378232,0.9387010923720844,0.9493775975124558,0.9972273123160824,0.9276895088358376,False,False,False,10.548873872614232,3,-1,True,new_customers,New customers,13.559789741425089,simulated_actual_payout_peer_median,DEMO payout: peer median,3.014030954805678,distinct_customers_rolling_std,Customer coverage: rolling std,1.2534848173447115,DEMO payout,-5.076002142911453,product_class|peer_country|team|date,Customer coverage: personal history deviation,-2.2233213923487765,distinct_customers,57.0,85.59839847731226,down,25,True,Customer coverage,2116151.0,3212242.632771017,0.831919625962858,25,True,False,,0,High,PCA only,11,11
obs_36d0b37184997cfa,Steve Pepple,Tracy Banks,Bravo,Germany,Antibiotics,2019-02-01,test,3089165.0,7137.0,49,63044.183673469386,48,1,26,48,2.834631788074525,6,0.3140561724497939,0.348564496210209,0.4995013398463764,0.7045779170289279,3290761.42,954.0540027967144,954.0540027967144,0.0,0.0,93.87386703956192,47,24,6 distributors; concentration index 0.314; mix change 0.349,Channel diversity index 0.500; subchannel diversity index 0.705,0.3101745019558629,0.997701152122916,True,True,0.0837369402687258,0.2334822213555991,0.0620874883256633,0.9925658817335736,0.9975138737543988,0.9761788135079464,False,False,False,13.48886274374299,3,-1,True,new_customers,New customers,8.190964816832562,total_quantity_lag_1,Quantity: lag 1,3.291106494746008,total_sales_month_over_month_growth,Sales: month-over-month change,2.73139005440752,Customer coverage,0.5058680696074465,product_class|peer_country|date,Customer coverage: personal history deviation,-1.564818561985701,distinct_customers,48.0,67.33612910281647,down,25,True,Customer coverage,3089165.0,2766655.419945964,0.2116417522214476,25,True,True,Sudden customer expansion; Sales growth is concentrated in few customers,1,High,PCA + Business Rule,12,12
obs_6e1bd7223c85ebfd,Daniel Gates,Alisha Cordwell,Charlie,Germany,Analgesics,2019-04-01,test,24474269.0,48374.0,47,520729.1276595744,45,2,29,45,2.5549820850471967,4,0.8345788297602008,0.9094824702244404,0.0340030091892971,0.1196568599177948,1132685.85,12053.643834696088,12053.643834696088,0.0,0.0,2160.7287669392176,43,57,4 distributors; concentration index 0.835; mix change 0.909,Channel diversity index 0.034; subchannel diversity index 0.120,0.3097921752134105,0.9976985761502434,True,True,0.0837369402687258,0.947417392209774,0.999145310148917,0.9948615316165784,0.9968895751907084,0.999558482818702,True,True,True,19.57181717383253,2,-1,True,new_customers,New customers,5.34280066278626,simulated_actual_payout_year_over_year_growth,DEMO payout: year-over-year change,3.03530818637955,distinct_customers_lag_2,Customer coverage: lag 2,1.8721119963538928,DEMO payout,21.27755753424089,product_class|peer_country|date,DEMO payout: personal history deviation,13.67866139353908,simulated_actual_payout,12053.643834696088,1372.266244033627,up,27,True,DEMO payout,24474269.0,2648775.802504899,9.797579527195238,27,True,True,High DEMO attainment without customer growth; Sales growth is concentrated in few customers,3,High,PCA + Peer + Temporal + Business Rule,13,13
obs_84a8e8aef44fcfaa,Jimmy Grey,Alisha Cordwell,Charlie,Germany,Antimalarial,2019-02-01,test,22031843.0,35286.0,60,367197.38333333336,57,3,27,57,2.3314200051764007,5,0.8638972533054107,0.9359543820278676,0.0847849139156635,0.1087808267683744,1157623.18,10765.9821350502,10765.9821350502,0.0,0.0,1903.19642701004,54,32,5 distributors; concentration index 0.864; mix change 0.936,Channel diversity index 0.085; subchannel diversity index 0.109,0.3027838582236587,0.9976513567668128,True,True,0.0837369402687258,0.9853613560046008,0.9998176700020204,0.9947536442195872,0.9970849886985688,0.9994709363878356,True,True,True,18.01557109030449,2,-1,True,new_customers,New customers,3.652104569942999,simulated_actual_payout_year_over_year_growth,DEMO payout: year-over-year change,3.3088726020927544,distinct_customers_rolling_std,Customer coverage: rolling std,2.321697357822132,Sales,30.889492921824985,product_class|peer_country|date,DEMO payout: personal history deviation,28.496833649207844,simulated_actual_payout,10765.9821350502,967.1264386163532,up,25,True,DEMO payout,22031843.0,1928922.1545150636,18.88770008200317,25,True,True,Sudden customer expansion; Sales growth is concentrated in few customers,3,High,PCA + Peer + Temporal + Business Rule,14,14
obs_513a75c19be2b19d,Morris Garcia,Tracy Banks,Bravo,Germany,Mood Stabilizers,2019-03-01,test,3978471.0,19959.0,69,57659.0,63,0,38,63,2.705859174132813,3,0.4848784203368154,0.391039508304795,0.3504432758206257,0.4362955733979543,2572148.96,1683.437303724431,1683.437303724431,0.0,0.0,154.6749842979545,63,51,3 distributors; concentration index 0.485; mix change 0.391,Channel diversity index 0.350; subchannel diversity index 0.436,0.3022243154501511,0.9976475867796952,True,True,0.0837369402687258,0.9015566766058248,0.7025305113469901,0.9525697966510226,0.9975110456317547,0.9120019153859288,False,False,False,10.665016088700613,2,-1,True,new_customers,New customers,14.156090905962934,distributor_count,Distributor count,2.6427883573145685,product_class_share,Product class share,1.555268112167711,Quantity,1.8095474129656692,product_class|peer_country|date,Quantity: personal history deviation,10.37251290496716,total_quantity,19959.0,7980.748764950958,up,26,True,Quantity,3978471.0,3407524.267276387,0.8339116070906192,26,True,False,,0,High,PCA only,15,15
obs_a3c1436f4a4dc5f8,Alan Ray,James Goodwill,Alfa,Germany,Analgesics,2019-03-01,test,6542648.0,10284.0,74,88414.16216216216,70,5,36,70,2.329775264239112,3,0.6807278856262877,0.6040882883700022,0.3646598398779511,0.3914218887842601,1451188.63,3504.2376176141897,3504.2376176141897,0.0,0.0,450.847523522838,65,48,3 distributors; concentration index 0.681; mix change 0.604,Channel diversity index 0.365; subchannel diversity index 0.391,0.296561840318493,0.997609435168574,True,True,0.0837369402687258,0.2483217160616841,0.9253467880577996,0.9910993044615364,0.9971043276140206,0.9955700015666566,False,False,False,13.015650871334625,2,-1,True,new_customers,New customers,3.7962122790261454,distributor_count,Distributor count,3.110811698745652,simulated_actual_payout_year_over_year_growth,DEMO payout: year-over-year change,2.012482121639338,Sales,4.448061869593135,product_class|peer_country|date,Sales: personal history deviation,1.331704697554228,total_sales,6542648.0,3395703.436821517,up,26,True,Sales,6542648.0,3395703.436821517,1.1401620863883242,26,True,False,,0,High,PCA only,16,16
obs_51f13243c9343e52,Sheila Stones,Britanny Bold,Delta,Germany,Antipiretics,2019-03-01,test,2921038.0,6247.0,52,56173.807692307695,48,1,26,48,2.4402932064006424,4,0.4517260070128182,0.4995680262715337,0.4750644103694637,0.5661835928225138,1052906.17,2637.1312008742434,2637.1312008742434,0.0,0.0,277.42624017484866,47,39,4 distributors; concentration index 0.452; mix change 0.500,Channel diversity index 0.475; subchannel diversity index 0.566,0.2955095908184029,0.9976023455102894,True,True,0.0837369402687258,0.2432304585152398,0.286771865104574,0.9642372796303448,0.9971824180334394,0.9498531616345456,False,False,False,11.01875189716505,0,-1,True,new_customers,New customers,10.091216747755384,simulated_actual_payout_peer_median,DEMO payout: peer median,2.985198282874125,distinct_customers_rolling_std,Customer coverage: rolling std,1.749799956605366,Customer coverage,-0.8571428571428571,product_class|peer_country|team|date,DEMO payout: personal history deviation,1.098121280635371,simulated_actual_payout,2637.1312008742434,1316.5541195705298,up,26,True,DEMO payout,2921038.0,2112865.7283622883,0.5134795253203641,26,True,False,,0,High,PCA only,17,17
obs_1a58e4d3c759c7d0,Jessica Smith,Britanny Bold,Delta,Germany,Antipiretics,2019-03-01,test,10072979.0,17529.0,59,170728.45762711865,55,6,31,55,2.644954268559347,4,0.4268959586426094,0.3986090807176704,0.1678401512069651,0.2098047343860664,1147345.84,5639.687332635467,5639.687332635467,0.0,0.0,877.9374665270934,49,48,4 distributors; concentration index 0.427; mix change 0.399,Channel diversity index 0.168; subchannel diversity index 0.210,0.2842763072254095,0.997526659903326,True,True,0.0837369402687258,0.9200881596161132,0.8419600947249509,0.9864865721573312,0.9972857769782292,0.9942928319313044,True,False,False,12.4077065770089,2,-1,True,simulated_actual_payout_peer_median,DEMO payout: peer median,3.042564265393484,distributor_count,Distributor count,2.256924355685382,simulated_actual_payout_year_over_year_growth,DEMO payout: year-over-year change,2.071207722884447,Sales,2.7016668861790563,product_class|peer_country|team|date,DEMO payout: personal history deviation,12.582017034242492,simulated_actual_payout,5639.687332635467,1623.3724509954825,up,26,True,DEMO payout,10072979.0,3007547.3866389967,3.24625794007149,26,True,True,Sales growth is concentrated in few customers,2,High,PCA + Temporal + Business Rule,18,18
obs_b15c31a8737cf97b,Steve Pepple,Tracy Banks,Bravo,Germany,Mood Stabilizers,2019-04-01,test,1019802.0,2495.0,57,17891.263157894737,56,0,35,56,2.556130824240581,3,0.550451811703258,0.2721466126313585,0.4040326841862169,0.610541308847806,1949975.4,642.2364866756781,642.2364866756781,0.0,0.0,52.29819822342374,56,52,3 distributors; concentration index 0.550; mix change 0.272,Channel diversity index 0.404; subchannel diversity index 0.611,0.2835506609236229,0.9975217707735952,True,True,0.0837369402687258,0.4263424746139592,0.7717387732211559,0.9789096423911132,0.9975119013355208,0.9493723296022752,False,False,False,11.843505925029415,3,-1,True,new_customers,New customers,13.964085269661007,distinct_customers_rolling_std,Customer coverage: rolling std,2.8234680345557206,product_breadth_change,Product breadth change,1.6434913780742753,Customer coverage,2.1739130434782608,product_class|peer_country|date,Quantity: personal history deviation,-2.08274808268886,total_quantity,2495.0,6340.660647104486,down,27,True,Quantity,1019802.0,2234609.6175797554,1.2346376144311222,27,True,False,,0,High,PCA only,19,19
obs_75dbaa4dbb0c93da,Erica Jones,James Goodwill,Alfa,Germany,Antimalarial,2019-03-01,test,12995502.0,26461.0,58,224060.37931034484,57,2,31,57,2.6043625174860723,4,0.8489942135379913,0.9199013627946038,0.0564972328952211,0.1164589200948515,851768.8,8878.5384015005,8878.5384015005,0.0,0.0,1525.7076803001,55,46,4 distributors; concentration index 0.849; mix change 0.920,Channel diversity index 0.056; subchannel diversity index 0.116,0.2817905508368856,0.9975099118189864,True,True,0.0837369402687258,0.8667098645982121,0.9839374985367156,0.9942286491310924,0.99682444200679,0.9982462075970606,False,True,True,15.72828548060588,2,-1,True,new_customers,New customers,6.901461804632222,simulated_actual_payout_year_over_year_growth,DEMO payout: year-over-year change,4.232854231013633,distributor_count,Distributor count,2.0177546182956068,Sales,10.173439556622974,product_class|peer_country|date,DEMO payout: personal history deviation,7.253404067182762,simulated_actual_payout,8878.5384015005,1170.1428892704969,up,26,True,DEMO payout,12995502.0,1866815.007463028,4.489530559423308,26,True,True,Sales growth is concentrated in few customers,2,High,PCA + Peer + Business Rule,20,20
obs_58d925454f9e05fc,Erica Jones,James Goodwill,Alfa,Germany,Antimalarial,2017-06-01,train,1093280.0,5128.0,74,14774.054054054051,69,41,32,69,2.5177795488311534,8,0.425132501656055,0.3551060490691266,0.4999972575252451,0.66200606617509,1165221.49,953.6945396535726,953.6945396535726,0.0,0.0,93.82593862047636,28,50,8 distributors; concentration index 0.425; mix change 0.355,Channel diversity index 0.500; subchannel diversity index 0.662,0.2816399009502776,0.997508896797153,True,True,0.0837369402687258,0.6551601423487544,0.8701067615658363,0.996797153024911,0.998220640569395,0.9405693950177936,False,False,False,39.19121462286865,0,-1,True,total_quantity_lag_2,Quantity: lag 2,6.893637326209915,product_mix_change,Product mix change,4.983015262953788,simulated_actual_payout_rolling_median,DEMO payout: rolling median,2.457285374113215,Customer coverage,3.0188679245283017,product_class|peer_country|date,Customer coverage: personal history deviation,3.2038311075138277,distinct_customers,69.0,48.938,up,5,True,Customer coverage,1093280.0,1041083.8195999998,0.4630514698967921,5,True,False,,0,High,PCA only,21,21
obs_902988302cf00c77,Sheila Stones,Britanny Bold,Delta,Germany,Mood Stabilizers,2019-04-01,test,2203988.0,6427.0,56,39356.92857142857,54,0,33,54,2.8965260947433604,4,0.4164567256685154,0.464948916559414,0.4729112060552041,0.7146752075402553,5515461.51,549.701302783636,549.701302783636,0.0,0.0,39.9601737044848,54,65,4 distributors; concentration index 0.416; mix change 0.465,Channel diversity index 0.473; subchannel diversity index 0.715,0.2812197880796758,0.9974995768091482,False,True,0.0837369402687258,0.2104085474081869,0.689576429934499,0.98200984208543,0.9972526103349272,0.9242142457123058,False,False,False,12.00154918360444,3,-1,True,new_customers,New customers,15.935182491394857,distinct_customers_rolling_std,Customer coverage: rolling std,2.742704974184953,simulated_actual_payout_rolling_std,DEMO payout: rolling std,1.0133012350265855,Customer coverage,1.7391304347826084,product_class|peer_country|team|date,Sales: personal history deviation,-0.8893290596503372,simulated_actual_payout,549.701302783636,2119.917265191739,down,27,True,DEMO payout,2203988.0,4428203.691168273,0.8226078290051195,27,True,False,,0,Medium,PCA only,22,22
obs_f313d14aab3a2339,Thompson Crawford,James Goodwill,Alfa,Germany,Analgesics,2019-02-01,test,650953.0,1950.0,38,17130.342105263157,36,0,26,36,2.8529597979439187,3,0.4019538757637603,0.215688455839803,0.4977945283251767,0.6863137692660691,1861910.4,512.2117315634522,512.2117315634522,0.0,0.0,34.961564208460295,36,43,3 distributors; concentration index 0.402; mix change 0.216,Channel diversity index 0.498; subchannel diversity index 0.686,0.2809797806281015,0.9974942523672512,False,True,0.0837369402687258,0.375613393247367,0.7466192170818505,0.985335927880136,0.9968432692632672,0.9757940668573644,False,False,False,12.328584266855772,3,-1,True,new_customers,New customers,10.718323487823882,simulated_actual_payout_peer_median,DEMO payout: peer median,3.993033507970947,distinct_customers_rolling_std,Customer coverage: rolling std,1.7150240145253146,Customer coverage,-2.0234722784297854,product_class|peer_country|date,Customer coverage: personal history deviation,-2.21083082272884,distinct_customers,36.0,83.4924802239855,down,25,True,Customer coverage,650953.0,2768773.346453044,1.4380108691778282,25,True,False,,0,Medium,PCA only,23,23
