observation_id,representative,product_class,date,total_sales,total_quantity,distinct_customers,simulated_actual_payout
obs_309b62ebed7b301b,Abigail Thompson,Antibiotics,2017-10-01,2756439.0,6657.0,64,1329.0928652085006
obs_a202012c4ef24643,Abigail Thompson,Antibiotics,2017-11-01,1576703.0,4313.0,54,716.1493016144565
obs_2efdc8c5fbd6df78,Abigail Thompson,Antibiotics,2017-12-01,3896001.0,10025.0,42,1669.7423835679303
obs_0cadaa8e09752462,Abigail Thompson,Antibiotics,2018-01-01,8494579.0,14548.0,67,2745.9816048296198
obs_4d5cbeb7f46f0e31,Abigail Thompson,Antibiotics,2018-02-01,1329742.0,2969.0,75,498.5263062981959
obs_9803f0acde4e76f3,Abigail Thompson,Antibiotics,2018-03-01,3459842.0,7495.0,83,896.6380340211581
obs_e1b37c675c3003b1,Abigail Thompson,Antibiotics,2018-04-01,557192.0,2090.0,72,367.2661439733628
obs_0b498f5343e84a61,Abigail Thompson,Antibiotics,2018-05-01,1677197.0,3218.0,80,1280.697874044126
obs_d7a2b25a8cdc5b6a,Abigail Thompson,Antibiotics,2018-06-01,3603234.0,8352.0,88,2292.8964030144352
obs_2a80e8723ccdd491,Abigail Thompson,Antibiotics,2018-07-01,3661327.0,8059.0,91,2309.7104597035977
obs_c32b47f34eec76af,Abigail Thompson,Antibiotics,2018-08-01,1180625.0,3646.0,78,488.5852259548651
obs_d537f23061649c08,Abigail Thompson,Antibiotics,2018-09-01,2032755.0,4619.0,77,660.7869230160989
obs_06bc80ca1592529b,Abigail Thompson,Antibiotics,2018-10-01,3340076.0,8056.0,111,1744.0869860175653
obs_593c6b0abfbff40f,Abigail Thompson,Antibiotics,2018-11-01,1988362.0,5139.0,83,962.2532758581286
obs_0764cae41bcbe612,Abigail Thompson,Antibiotics,2018-12-01,2884830.0,6308.0,85,1472.2967261442711
obs_d05b3b40b386e054,Abigail Thompson,Antibiotics,2019-01-01,1215848.0,3225.0,34,556.8902547436878
obs_04e73b8f3403f58d,Abigail Thompson,Antibiotics,2019-02-01,1521591.0,3504.0,39,807.2197676532168
obs_e4f6b17418ade61e,Abigail Thompson,Antibiotics,2019-03-01,3087397.0,4748.0,44,2212.4495146313798
obs_3e72ae64b4ee1487,Abigail Thompson,Antibiotics,2019-04-01,2250712.0,4253.0,37,1545.1253667652788
obs_979be2c88656c12c,Abigail Thompson,Antimalarial,2017-01-01,938089.0,2849.0,44,5803.830097087379
obs_dfa27919b86c3d52,Abigail Thompson,Antimalarial,2017-02-01,1163298.0,4395.0,45,1254.9418738261807
obs_68b49514dab5a9ca,Abigail Thompson,Antimalarial,2017-03-01,1162431.0,5812.0,48,1092.6534312905796
obs_308780ad50c636ca,Abigail Thompson,Antimalarial,2017-04-01,573217.0,2707.0,45,609.0673505932616
obs_a4c24cdcb0026734,Abigail Thompson,Antimalarial,2017-05-01,892507.0,2165.0,41,809.072958191994
obs_182375d528750b6c,Abigail Thompson,Antimalarial,2017-06-01,1151759.0,3765.0,48,1316.111836320644
obs_8abab8423ce5b57a,Abigail Thompson,Antimalarial,2017-07-01,3357104.0,7723.0,56,3075.9376519425955
obs_047985ea3c9cd755,Abigail Thompson,Antimalarial,2017-08-01,3296889.0,11155.0,70,2639.5541978817255
obs_d9289b44a1d34714,Abigail Thompson,Antimalarial,2017-09-01,1986226.0,4674.0,53,688.6805464063743
obs_5015dcfd335cfe6b,Abigail Thompson,Antimalarial,2017-10-01,1071259.0,3894.0,55,486.59970389207786
obs_122ff7e4b022803a,Abigail Thompson,Antimalarial,2017-11-01,1393913.0,4979.0,66,761.0119362926259
obs_0bdcb50077926fdd,Abigail Thompson,Antimalarial,2017-12-01,1472664.0,5590.0,45,1032.1557674209291
obs_a2471ed7d158d3a2,Abigail Thompson,Antimalarial,2018-01-01,1438413.0,6382.0,87,1002.335579523395
obs_0fd2277576d131c5,Abigail Thompson,Antimalarial,2018-02-01,2071148.0,6224.0,68,1497.4321535008319
obs_f919088c73e72be1,Abigail Thompson,Antimalarial,2018-03-01,1928083.0,5554.0,87,1338.89370107374
obs_27e4d2ad8d9be82a,Abigail Thompson,Antimalarial,2018-04-01,1165659.0,3879.0,83,690.2200658595706
obs_6eca4269d60b55fa,Abigail Thompson,Antimalarial,2018-05-01,3290572.0,8924.0,93,1821.1829425181504
obs_b6b35315a88c7800,Abigail Thompson,Antimalarial,2018-06-01,5869892.0,15941.0,81,2727.873170357464
obs_cee5c1e4f3e8006e,Abigail Thompson,Antimalarial,2018-07-01,1718205.0,8076.0,79,630.2135755215409
obs_d7ceb393881b22a6,Abigail Thompson,Antimalarial,2018-08-01,1451843.0,4592.0,85,571.2715701129496
obs_fd7a14533175bc3b,Abigail Thompson,Antimalarial,2018-09-01,2042993.0,17446.0,69,1192.994541916246
obs_ecd4c7198c8348a5,Abigail Thompson,Antimalarial,2018-10-01,2432965.0,11229.0,111,1468.4372220919308
obs_069f966ef2f3ff89,Abigail Thompson,Antimalarial,2018-11-01,2133060.0,6368.0,82,1017.0944288813956
obs_890c162e5617bff7,Abigail Thompson,Antimalarial,2018-12-01,1372466.0,3421.0,66,718.5139876993342
obs_6c27798b6101288b,Abigail Thompson,Antimalarial,2019-01-01,333960.0,960.0,33,364.00277408115727
obs_45857c1a6bd69901,Abigail Thompson,Antimalarial,2019-02-01,1911559.0,4830.0,49,1440.280965313389
obs_414b31aff8f47057,Abigail Thompson,Antimalarial,2019-03-01,2308727.0,7538.0,54,1791.4736360243576
obs_2835518b42eb6685,Abigail Thompson,Antimalarial,2019-04-01,904479.0,2841.0,43,594.536168432276
obs_e31ae31bfcf0fa35,Abigail Thompson,Antipiretics,2017-01-01,813171.0,2006.0,39,5197.4320388349515
obs_e2991b3dc0037036,Abigail Thompson,Antipiretics,2017-02-01,1197226.0,3118.0,58,1536.7633926410087
obs_ba083d35986c96ef,Abigail Thompson,Antipiretics,2017-03-01,2381219.0,5471.0,56,2399.9535200242126
obs_26248f6afed02ffa,Abigail Thompson,Antipiretics,2017-04-01,1211494.0,2630.0,41,986.8331670400729
obs_c5929a7675610dae,Abigail Thompson,Antipiretics,2017-05-01,4017935.0,7416.0,61,2859.9575264055334
obs_6a00219cfab950aa,Abigail Thompson,Antipiretics,2017-06-01,1710040.0,3126.0,52,772.9148420542392
obs_f83caddbc1b9d053,Abigail Thompson,Antipiretics,2017-07-01,5463040.30669,10052.5512759,57,2800.8182930967605
obs_d4083525788fe9dd,Abigail Thompson,Antipiretics,2017-08-01,1794375.0,3619.0,46,575.1878733389359
obs_49fe18ffa6259ad5,Abigail Thompson,Antipiretics,2017-09-01,3670557.0,7331.0,46,2232.513112375851
obs_952bf57ffd9a5f43,Abigail Thompson,Antipiretics,2017-10-01,2400058.0,4549.0,50,726.1171256960972
obs_6f6703e51e278b47,Abigail Thompson,Antipiretics,2017-11-01,5120967.0,8855.0,66,2285.7692650259332
obs_9affe7fb434117f8,Abigail Thompson,Antipiretics,2017-12-01,976869.0,2373.0,37,443.78867529935553
obs_ba8370d76ad0e8fa,Abigail Thompson,Antipiretics,2018-01-01,5907354.0,11248.0,70,2444.8242804196957
obs_6fbbb68b8333a761,Abigail Thompson,Antipiretics,2018-02-01,8768606.0,16175.0,105,1828.027867768398
obs_a4fa64c11bca5df4,Abigail Thompson,Antipiretics,2018-03-01,3427530.0,8482.0,88,672.4859847310082
obs_0f0a972fdd81380f,Abigail Thompson,Antipiretics,2018-04-01,1345119.0,2903.0,76,415.8027574654019
obs_95b0b02329fbc254,Abigail Thompson,Antipiretics,2018-05-01,2926850.0,7012.0,74,871.7892932551077
obs_3f54eb758387db85,Abigail Thompson,Antipiretics,2018-06-01,4649734.0,10174.0,84,1677.970708427547
obs_5b3678539e95b0b2,Abigail Thompson,Antipiretics,2018-07-01,3750602.0,7363.0,66,1305.1536485678048
obs_1121c787d49a3276,Abigail Thompson,Antipiretics,2018-08-01,680084.0,1816.0,74,382.03394978099647
obs_988c4ec12efd2894,Abigail Thompson,Antipiretics,2018-09-01,2236525.0,5219.0,65,684.2069943329693
obs_e16591dea25fd1a6,Abigail Thompson,Antipiretics,2018-10-01,2296048.0,4911.0,87,997.5345062766951
obs_3c86f628b67cc3f8,Abigail Thompson,Antipiretics,2018-11-01,9444785.0,24521.0,84,3299.9869607442974
obs_6d502ebf7664cbcb,Abigail Thompson,Antipiretics,2018-12-01,1444775.0,2858.0,75,708.1875601328722
obs_9381de55942bf2ca,Abigail Thompson,Antipiretics,2019-01-01,1038992.0,2057.0,34,579.4998940856349
obs_96ba25e4460616e5,Abigail Thompson,Antipiretics,2019-02-01,2423462.0,5006.0,49,1785.676600297053
obs_927653606ac82639,Abigail Thompson,Antipiretics,2019-03-01,4425742.0,10386.0,63,2737.0263166250397
obs_fc0e2698434adc3b,Abigail Thompson,Antipiretics,2019-04-01,5600221.0,11520.0,41,2371.764601010928
obs_f94d749361ef2cd1,Abigail Thompson,Antiseptics,2017-01-01,3416789.0,6069.0,57,17836.35436893204
obs_2ee6132f55e95c0b,Abigail Thompson,Antiseptics,2017-02-01,2492453.0,9832.0,72,781.1691653084368
obs_cb5adde5518e5a4b,Abigail Thompson,Antiseptics,2017-03-01,2729891.0,5780.0,71,922.7714684008082
obs_1a97daaff441e048,Abigail Thompson,Antiseptics,2017-04-01,2625587.0,7008.0,65,950.3338939813924
obs_5a31ed1945c06339,Abigail Thompson,Antiseptics,2017-05-01,6320824.0,15869.0,63,2418.638161694335
obs_9468090f2a09b525,Abigail Thompson,Antiseptics,2017-06-01,1971445.0,3819.0,59,775.8518394630024
obs_e066ac342ed4730a,Abigail Thompson,Antiseptics,2017-07-01,10831192.0,20027.0,75,3252.5465521328215
obs_d5c3421318523173,Abigail Thompson,Antiseptics,2017-08-01,4986111.0,9105.0,66,824.3971592176215
obs_dd785b0f7ecf3ed4,Abigail Thompson,Antiseptics,2017-09-01,2729579.0,16227.0,66,648.6187881240198
obs_0de4ab5f7ac3473c,Abigail Thompson,Antiseptics,2017-10-01,1872610.0,5220.0,53,523.4698386926777
obs_1e0200583c608457,Abigail Thompson,Antiseptics,2017-11-01,5319920.0,11948.0,73,2115.278159098165
obs_567aec2a1b875305,Abigail Thompson,Antiseptics,2017-12-01,1195328.0,4257.0,51,568.8713226543058
obs_3ef20d80a429210f,Abigail Thompson,Antiseptics,2018-01-01,3362052.0,7217.0,115,1928.862760625414
obs_429b6f613b3c4bfa,Abigail Thompson,Antiseptics,2018-02-01,8065856.0,15429.0,103,2414.60544859803
obs_1e4d49a2d800aad0,Abigail Thompson,Antiseptics,2018-03-01,5078230.0,12408.0,136,1583.0770866830417
obs_a97b8d1e9afeecb2,Abigail Thompson,Antiseptics,2018-04-01,4329563.8,10472.2,109,870.8058713370604
obs_bca088b18d8451c4,Abigail Thompson,Antiseptics,2018-05-01,3446578.0,8573.0,114,744.1966344094853
obs_ccdf622376fdaf22,Abigail Thompson,Antiseptics,2018-06-01,4029926.0,11302.0,137,927.761610978531
obs_81799aaea829b660,Abigail Thompson,Antiseptics,2018-07-01,8231890.0,18924.0,123,2228.9928566902445
obs_bfcae23427ce1662,Abigail Thompson,Antiseptics,2018-08-01,8761089.0,24435.0,127,2305.343404628948
obs_40fdb640556f75f6,Abigail Thompson,Antiseptics,2018-09-01,3910604.0,9614.0,109,595.9141441960496
obs_09e77e38d95d2087,Abigail Thompson,Antiseptics,2018-10-01,3581944.0,8962.0,147,566.8423837642919
obs_d44e23642ed4b765,Abigail Thompson,Antiseptics,2018-11-01,2005161.0,4586.0,129,623.3614268589681
obs_d8b8034144828733,Abigail Thompson,Antiseptics,2018-12-01,2463768.0,4841.0,91,750.8469772957696
obs_8a6b05144a4bd5ef,Abigail Thompson,Antiseptics,2019-01-01,3452155.0,6063.0,57,1450.4476456978218
obs_be5060a455d194a7,Abigail Thompson,Antiseptics,2019-02-01,3158511.0,6967.0,63,1305.805748542772
obs_e75cea050177ef45,Abigail Thompson,Antiseptics,2019-03-01,5599065.0,14736.0,91,1901.3244044793591
obs_29d4e7aacd1322d0,Abigail Thompson,Antiseptics,2019-04-01,2013827.0,5266.0,58,674.7720289196591
obs_c7d3b769ce4896a8,Abigail Thompson,Mood Stabilizers,2017-01-01,3745676.0,6460.0,51,19432.893203883494
obs_9998d4f803eb4b0d,Abigail Thompson,Mood Stabilizers,2017-02-01,2404704.0,7787.0,53,717.4718417322874
obs_a7014d343fbf535b,Abigail Thompson,Mood Stabilizers,2017-03-01,2993801.0,8092.0,55,958.8837387172888
obs_db3a5969cf6667b0,Abigail Thompson,Mood Stabilizers,2017-04-01,5649652.0,16053.0,63,2040.1902252046034
obs_6e480dc7648c9b09,Abigail Thompson,Mood Stabilizers,2017-05-01,6285117.0,15080.0,68,2269.115054709018
obs_94097bebe7d07fad,Abigail Thompson,Mood Stabilizers,2017-06-01,2678653.0,6586.0,55,595.2381643040833
obs_51dc75ed844c5afa,Abigail Thompson,Mood Stabilizers,2017-07-01,7428204.0,18741.0,73,1345.6399933326247
obs_039c2328757fd2a3,Abigail Thompson,Mood Stabilizers,2017-08-01,4276245.0,9158.0,64,745.4196765259837
obs_9fde3129e39d2362,Abigail Thompson,Mood Stabilizers,2017-09-01,1373084.0,3575.0,50,483.80756869682205
obs_c50b1f5354dee310,Abigail Thompson,Mood Stabilizers,2017-10-01,3419215.0,7617.0,64,832.2210046885
obs_83b9ae5947472f93,Abigail Thompson,Mood Stabilizers,2017-11-01,2105533.0,5179.0,67,698.3938848792423
obs_165738616ce99974,Abigail Thompson,Mood Stabilizers,2017-12-01,1519622.0,3570.0,52,775.530055233714
obs_c46ec21ed4c28830,Abigail Thompson,Mood Stabilizers,2018-01-01,3969535.0,8388.0,96,2037.9702406279998
obs_be6752169fc32a9b,Abigail Thompson,Mood Stabilizers,2018-02-01,5410061.0,13150.0,114,2497.305648443171
obs_c47b80c362e28157,Abigail Thompson,Mood Stabilizers,2018-03-01,19381504.0,27379.0,120,3620.1761257624985
obs_e7f83c2dbc3643cb,Abigail Thompson,Mood Stabilizers,2018-04-01,1992441.0,4780.0,89,518.1682430933881
obs_c3a34f040bf7e3a1,Abigail Thompson,Mood Stabilizers,2018-05-01,2691986.0,8267.0,113,612.3219739264537
obs_3e8793c64b8fe8b6,Abigail Thompson,Mood Stabilizers,2018-06-01,2992474.0,9218.0,89,1099.0572402246873
obs_7b4a92fb0b39fc24,Abigail Thompson,Mood Stabilizers,2018-07-01,3421676.0,9510.0,102,1292.548667591781
obs_6323cb430e6a9ff7,Abigail Thompson,Mood Stabilizers,2018-08-01,5481508.0,10685.0,99,1973.0153157489697
obs_780ee4c2e8543d69,Abigail Thompson,Mood Stabilizers,2018-09-01,5708625.0,13751.0,95,1774.722083904218
obs_f6a416351ea5a816,Abigail Thompson,Mood Stabilizers,2018-10-01,4896395.0,11580.0,118,900.4298023552175
obs_865b95d23116c43a,Abigail Thompson,Mood Stabilizers,2018-11-01,7303786.0,16640.0,97,1367.0400483160927
obs_fe531257d8203eff,Abigail Thompson,Mood Stabilizers,2018-12-01,3033320.0,7184.0,93,636.9107106071613
obs_437956653bdaac46,Abigail Thompson,Mood Stabilizers,2019-01-01,1383739.0,3315.0,48,455.7793420971087
obs_2d794f00d18f54c4,Abigail Thompson,Mood Stabilizers,2019-02-01,3622540.0,10128.0,57,1199.3315600619092
obs_434a8af6c193eb1f,Abigail Thompson,Mood Stabilizers,2019-03-01,7019455.0,24317.0,63,2373.357386357017
obs_0d031e070c441b8c,Abigail Thompson,Mood Stabilizers,2019-04-01,3115419.0,6920.0,45,876.2205470698804
obs_f59d8b8ded76d0de,Alan Ray,Analgesics,2017-01-01,637061.0,1506.0,47,4342.5291262135925
obs_6acfb85d3311cd62,Alan Ray,Analgesics,2017-02-01,4159142.0,8276.0,60,4419.242774041711
obs_28f5d0164fb489d7,Alan Ray,Analgesics,2017-03-01,3920329.0,8228.0,70,1733.9363868638247
obs_971d0aad1d87d250,Alan Ray,Analgesics,2017-04-01,1622947.0,4582.0,56,551.4434564731289
obs_e03d7f66d346c839,Alan Ray,Analgesics,2017-05-01,1394308.0,3232.0,70,508.9764317061095
obs_a522d03a8c5f2b4b,Alan Ray,Analgesics,2017-06-01,4973777.0,9472.0,64,2737.6979065668393
obs_dfc482fa9dc557f5,Alan Ray,Analgesics,2017-07-01,2133511.0,4640.0,53,1345.3770385852256
obs_bc89b5e815f61b20,Alan Ray,Analgesics,2017-08-01,3374521.0,7583.0,73,1669.508488931229
obs_fc6c6e4cb6c6408b,Alan Ray,Analgesics,2017-09-01,3196977.0,7754.0,54,939.8448324329314
obs_c4b8f427388f2073,Alan Ray,Analgesics,2017-10-01,2885567.0,10996.0,62,907.2274431181318
obs_c2f75088b2cf61c3,Alan Ray,Analgesics,2017-11-01,2625296.0,10365.0,52,847.9471547561567
obs_1dd563122c36a4cc,Alan Ray,Analgesics,2017-12-01,10650571.0,21882.0,43,3041.7380178964404
obs_f6e5f3b1455aecab,Alan Ray,Analgesics,2018-01-01,2614554.0,5540.0,91,909.7668521682842
obs_f9dddcc836ab162b,Alan Ray,Analgesics,2018-02-01,3553002.0,7044.0,107,1392.4417022187065
obs_aaf4356fdfef9538,Alan Ray,Analgesics,2018-03-01,2057322.0,4271.0,84,671.629371444204
obs_27b985fccd305872,Alan Ray,Analgesics,2018-04-01,1690875.0,4260.0,75,720.9100137897992
obs_3666de587fdfd7bb,Alan Ray,Analgesics,2018-05-01,2771676.0,6288.0,97,1384.9820135202058
obs_e4c2855d5fcbf458,Alan Ray,Analgesics,2018-06-01,3521018.0,8150.0,90,1827.0108408345309
obs_5bb52d909b6d58f7,Alan Ray,Analgesics,2018-07-01,4051903.0,18996.0,102,1524.1460436604916
obs_d71673b68df05c45,Alan Ray,Analgesics,2018-08-01,2320831.0,5220.0,92,729.9536626728103
obs_8aae99145fca0de6,Alan Ray,Analgesics,2018-09-01,1720937.0,3708.0,101,605.8940812058947
obs_86311734d2f92047,Alan Ray,Analgesics,2018-10-01,8361766.0,15762.0,129,2998.98978371879
obs_a9e0ce9abccba836,Alan Ray,Analgesics,2018-11-01,7858987.0,20547.0,116,2893.82595415595
obs_333f4bb8bbab0ad5,Alan Ray,Analgesics,2018-12-01,1408921.0,3604.0,76,380.54015097805393
obs_2fa61f4345725ed9,Alan Ray,Analgesics,2019-01-01,601834.0,1902.0,43,305.7614665575473
obs_c0c41142faac01a9,Alan Ray,Analgesics,2019-02-01,4013122.0,28400.0,57,2632.701709839058
obs_a3c1436f4a4dc5f8,Alan Ray,Analgesics,2019-03-01,6542648.0,10284.0,70,3504.2376176141897
obs_a0202590016b807d,Alan Ray,Analgesics,2019-04-01,2281801.0,5823.0,43,664.018208896782
obs_d53cb4ace9236f83,Alan Ray,Antibiotics,2017-01-01,10061220.0,14009.0,43,50090.87378640776
obs_30e309db14222915,Alan Ray,Antibiotics,2017-02-01,4429157.0,8339.0,48,570.5490308718375
obs_07957e1a0eac75b4,Alan Ray,Antibiotics,2017-03-01,1881510.0,4069.0,54,439.0953635503146
obs_fe612689724d1340,Alan Ray,Antibiotics,2017-04-01,1886386.0,4050.0,47,560.1226799670799
obs_29595e61142abe40,Alan Ray,Antibiotics,2017-05-01,1715405.0,3094.0,51,912.1557362488969
obs_c91e044a37b5e69d,Alan Ray,Antibiotics,2017-06-01,4125104.0,9793.0,47,2314.2928657848815
obs_87db4f8b38f8c94e,Alan Ray,Antibiotics,2017-07-01,1858850.0,4203.0,55,967.526292814969
obs_f16961d69302cebb,Alan Ray,Antibiotics,2017-08-01,3390528.0,8990.0,80,1963.5828316442648
obs_156d27aa8e139ed2,Alan Ray,Antibiotics,2017-09-01,4722260.0,8817.0,54,1440.2671378181885
obs_8f9269a751b0e534,Alan Ray,Antibiotics,2017-10-01,2187467.0,5935.0,55,719.7839913721489
obs_56d3f10b1af993c2,Alan Ray,Antibiotics,2017-11-01,2287828.0,4816.0,60,741.3376839115564
obs_aca0ed8ccec6b7d0,Alan Ray,Antibiotics,2017-12-01,953708.0,2722.0,43,553.5401143860176
obs_6cba36a785573028,Alan Ray,Antibiotics,2018-01-01,1316093.0,5863.0,72,688.0958184196918
obs_0e6867b30abbbb6d,Alan Ray,Antibiotics,2018-02-01,4916955.0,9067.0,73,3063.6038708687765
obs_ec6848bc3eeb9290,Alan Ray,Antibiotics,2018-03-01,2855219.0,7934.0,81,2303.1388289252345
obs_45e4034a8c7912c1,Alan Ray,Antibiotics,2018-04-01,2479626.0,10219.0,78,882.3693253026681
obs_f5c4e2bdd922a7e0,Alan Ray,Antibiotics,2018-05-01,2866362.0,7132.0,83,980.9970955350552
obs_31f83a704a4c4b2b,Alan Ray,Antibiotics,2018-06-01,1533817.0,3179.0,71,641.1633534362693
obs_e8251079bd54c73c,Alan Ray,Antibiotics,2018-07-01,2687749.0,7044.0,96,1065.4529395479847
obs_80a3e86ffb4cbc10,Alan Ray,Antibiotics,2018-08-01,2015405.0,4523.0,81,796.0063096000999
obs_14d6c35ff70d6bd8,Alan Ray,Antibiotics,2018-09-01,3073438.0,10559.0,81,1600.6952624593532
obs_fdbdb8a5536848d3,Alan Ray,Antibiotics,2018-10-01,5354669.0,11727.0,114,2167.779602462084
obs_a37aac9eec58d20b,Alan Ray,Antibiotics,2018-11-01,4122277.0,9047.0,106,1377.7417502856943
obs_a09e94fa2819bdb6,Alan Ray,Antibiotics,2018-12-01,1636945.0,4653.0,79,539.148507661772
obs_a4603a2098b015b4,Alan Ray,Antibiotics,2019-01-01,224703.0,518.0,29,289.69133789902725
obs_c02e50578eb8d285,Alan Ray,Antibiotics,2019-02-01,3710749.0,10225.0,49,2350.4245506229086
obs_ae8abdc367a19bf1,Alan Ray,Antibiotics,2019-03-01,4318562.0,9311.0,65,2530.6718126683236
obs_6fc50b42eec9e24f,Alan Ray,Antibiotics,2019-04-01,852243.0,2186.0,45,417.23451013855583
obs_bda9ae5cd003c988,Alan Ray,Antimalarial,2017-01-01,1044221.0,3776.0,48,6319.033980582524
obs_271a46d26d667d12,Alan Ray,Antimalarial,2017-02-01,1633398.0,7215.0,38,1648.3329450505132
obs_29af730dcb5934b5,Alan Ray,Antimalarial,2017-03-01,807590.0,2597.0,48,689.2342382346303
obs_b941a9451a1dd3ee,Alan Ray,Antimalarial,2017-04-01,924901.0,3434.0,39,894.9512142944334
obs_7fd702d77fabc354,Alan Ray,Antimalarial,2017-05-01,1928639.0,7251.0,48,2262.2516077632577
obs_f0369a5723e05d91,Alan Ray,Antimalarial,2017-06-01,2276016.0,4600.0,50,2444.573403988459
obs_9ee27a6297fa7cd5,Alan Ray,Antimalarial,2017-07-01,1826613.0,5632.0,49,939.6355459516985
obs_74764a3dd73bb4d9,Alan Ray,Antimalarial,2017-08-01,917702.0,2824.0,58,596.4772887256171
obs_15046b2d2f85b636,Alan Ray,Antimalarial,2017-09-01,1153492.0,4100.0,66,709.8244725200691
obs_827506a58afc0d33,Alan Ray,Antimalarial,2017-10-01,2783163.0,6472.0,38,2421.269501652374
obs_ddcfb406be3bbef5,Alan Ray,Antimalarial,2017-11-01,1559826.0,3488.0,66,1391.097396814717
obs_9ac16145a4603183,Alan Ray,Antimalarial,2017-12-01,1005139.0,2430.0,32,719.2172909652021
obs_c143012a3c7d3e23,Alan Ray,Antimalarial,2018-01-01,981921.0,2698.0,72,708.3787034050437
obs_5f9306c678a2af05,Alan Ray,Antimalarial,2018-02-01,1928412.0,6807.0,82,2078.340483498022
